ID	condition	time	sample_loc
VM_001	ContralateralNarrow	764.3745	11746
VM_001	ContralateralNarrow	765.1125	19126
VM_001	ContralateralNarrow	765.4199	22200
VM_001	ContralateralNarrow	766.0965	28966
VM_001	ContralateralNarrow	767.1734	39735
VM_001	ContralateralNarrow	769.0738	58739
VM_001	ContralateralNarrow	769.9042	67043
VM_001	ContralateralNarrow	770.999	77991
VM_001	ContralateralNarrow	771.7183	85184
VM_001	ContralateralNarrow	771.7837	85838
VM_001	ContralateralNarrow	772.8255	96256
VM_001	ContralateralNarrow	772.9022	97023
VM_001	ContralateralNarrow	773.7482	105483
VM_001	ContralateralNarrow	774.7634	115635
VM_001	ContralateralNarrow	774.8122	116123
VM_001	ContralateralNarrow	774.8207	116208
VM_001	ContralateralNarrow	774.8532	116533
VM_001	ContralateralNarrow	777.8359	146360
VM_001	ContralateralNarrow	781.6816	184817
VM_001	ContralateralNarrow	783.6061	204062
VM_001	ContralateralNarrow	783.6531	204532
VM_001	ContralateralNarrow	784.5396	213397
VM_001	ContralateralNarrow	785.6823	224824
VM_001	ContralateralNarrow	786.5899	233900
VM_001	ContralateralNarrow	786.7057	235058
VM_001	ContralateralNarrow	787.7227	245228
VM_001	ContralateralNarrow	789.4986	262987
VM_001	ContralateralNarrow	789.5516	263517
VM_001	ContralateralNarrow	789.6595	264596
VM_001	ContralateralNarrow	792.3717	291718
VM_001	ContralateralNarrow	792.6107	294108
VM_001	ContralateralNarrow	795.3209	321210
VM_001	ContralateralNarrow	795.485	322851
VM_001	ContralateralNarrow	796.281	330811
VM_001	ContralateralNarrow	796.408	332081
VM_001	ContralateralNarrow	797.5536	343537
VM_001	ContralateralNarrow	798.2545	350546
VM_001	ContralateralNarrow	799.2923	360924
VM_001	ContralateralNarrow	801.2212	380213
VM_001	ContralateralNarrow	801.2264	380265
VM_001	ContralateralNarrow	801.2498	380499
VM_001	ContralateralNarrow	802.2173	390174
VM_001	ContralateralNarrow	802.2661	390662
VM_001	ContralateralNarrow	804.0585	408586
VM_001	ContralateralNarrow	804.2055	410056
VM_001	ContralateralNarrow	805.1295	419296
VM_001	ContralateralNarrow	807.9621	447622
VM_001	ContralateralNarrow	808.9285	457286
VM_001	ContralateralNarrow	808.9297	457298
VM_001	ContralateralNarrow	810.9339	477340
VM_001	ContralateralNarrow	811.3803	481804
VM_001	ContralateralNarrow	813.7422	505423
VM_001	ContralateralNarrow	814.5437	513438
VM_001	ContralateralNarrow	814.5517	513518
VM_001	ContralateralNarrow	814.7141	515142
VM_001	ContralateralNarrow	815.4649	522650
VM_001	ContralateralNarrow	815.5496	523497
VM_001	ContralateralNarrow	815.7383	525384
VM_001	ContralateralNarrow	816.4758	532759
VM_001	ContralateralNarrow	817.4237	542238
VM_001	ContralateralNarrow	820.2343	570344
VM_001	ContralateralNarrow	822.2382	590383
VM_001	ContralateralNarrow	823.9843	607844
VM_001	ContralateralNarrow	826.0354	628355
VM_001	ContralateralNarrow	828.8268	656269
VM_001	ContralateralNarrow	829.7817	665818
VM_001	ContralateralNarrow	830.7452	675453
VM_001	ContralateralNarrow	830.9564	677565
VM_001	ContralateralNarrow	833.5139	703140
VM_001	ContralateralNarrow	833.6221	704222
VM_001	ContralateralNarrow	834.6334	714335
VM_001	ContralateralNarrow	838.1487	749488
VM_001	ContralateralNarrow	838.7498	755499
VM_001	ContralateralNarrow	839.496	762961
VM_001	ContralateralNarrow	839.6595	764596
VM_001	ContralateralNarrow	840.4323	772324
VM_001	ContralateralNarrow	842.355	791551
VM_001	ContralateralNarrow	843.2321	800322
VM_001	ContralateralNarrow	843.3798	801799
VM_001	ContralateralNarrow	843.4917	802918
VM_001	ContralateralNarrow	847.1143	839144
VM_001	ContralateralNarrow	847.1982	839983
VM_001	ContralateralNarrow	850.0993	868994
VM_001	ContralateralNarrow	852.1307	889308
VM_001	ContralateralNarrow	853.9087	907088
VM_001	ContralateralNarrow	853.9242	907243
VM_001	ContralateralNarrow	854.0438	908439
VM_001	ContralateralNarrow	855.0396	918397
VM_001	ContralateralNarrow	856.8236	936237
VM_001	ContralateralNarrow	857.7236	945237
VM_001	ContralateralNarrow	857.8842	946843
VM_001	ContralateralNarrow	857.8853	946854
VM_001	ContralateralNarrow	859.6282	964283
VM_001	ContralateralNarrow	859.6335	964336
VM_001	ContralateralNarrow	859.7138	965139
VM_001	ContralateralNarrow	859.8408	966409
VM_001	ContralateralNarrow	860.5142	973143
VM_001	ContralateralNarrow	860.562	973621
VM_001	ContralateralNarrow	862.5257	993258
VM_001	ContralateralNarrow	864.4041	1012042
VM_001	ContralateralNarrow	864.5387	1013388
VM_001	ContralateralNarrow	864.5723	1013724
VM_001	ContralateralNarrow	865.2457	1020458
VM_001	ContralateralNarrow	865.2658	1020659
VM_001	ContralateralNarrow	865.3901	1021902
VM_001	ContralateralNarrow	865.6156	1024157
VM_001	ContralateralNarrow	866.1194	1029195
VM_001	ContralateralNarrow	866.1784	1029785
VM_001	ContralateralNarrow	867.1768	1039769
VM_001	ContralateralNarrow	869.9288	1067289
VM_001	ContralateralNarrow	870.7624	1075625
VM_001	ContralateralNarrow	871.6973	1084974
VM_001	ContralateralNarrow	871.7672	1085673
VM_001	ContralateralNarrow	871.7879	1085880
VM_001	ContralateralNarrow	873.3786	1101787
VM_001	ContralateralNarrow	873.4259	1102260
VM_001	ContralateralNarrow	873.6037	1104038
VM_001	ContralateralNarrow	875.5122	1123123
VM_001	ContralateralNarrow	875.57	1123701
VM_001	ContralateralNarrow	877.0997	1138998
VM_001	ContralateralNarrow	879.144	1159441
VM_001	ContralateralNarrow	879.8856	1166857
VM_001	ContralateralNarrow	880.0302	1168303
VM_001	ContralateralNarrow	880.095	1168951
VM_001	ContralateralNarrow	882.7128	1195129
VM_001	ContralateralNarrow	882.7679	1195680
VM_001	ContralateralNarrow	882.885	1196851
VM_001	ContralateralNarrow	883.6753	1204754
VM_001	ContralateralNarrow	884.4633	1212634
VM_001	ContralateralNarrow	884.6145	1214146
VM_001	ContralateralNarrow	885.467	1222671
VM_001	ContralateralNarrow	887.3424	1241425
VM_001	ContralateralNarrow	887.4324	1242325
VM_001	ContralateralNarrow	891.2071	1280072
VM_001	ContralateralNarrow	892.0332	1288333
VM_001	ContralateralNarrow	895.6762	1324763
VM_001	ContralateralNarrow	895.7344	1325345
VM_001	ContralateralNarrow	895.7406	1325407
VM_001	ContralateralNarrow	895.7539	1325540
VM_001	ContralateralNarrow	895.9766	1327767
VM_001	ContralateralNarrow	896.3832	1331833
VM_001	ContralateralNarrow	896.6773	1334774
VM_001	ContralateralNarrow	896.8294	1336295
VM_001	ContralateralNarrow	896.8597	1336598
VM_001	ContralateralNarrow	897.0333	1338334
VM_001	ContralateralNarrow	897.1589	1339590
VM_001	ContralateralNarrow	897.9178	1347179
VM_001	ContralateralNarrow	898.4534	1352535
VM_001	ContralateralNarrow	899.363	1361631
VM_001	ContralateralNarrow	899.6578	1364579
VM_001	ContralateralNarrow	900.3765	1371766
VM_001	ContralateralNarrow	902.2592	1390593
VM_001	ContralateralNarrow	903.8787	1406788
VM_001	ContralateralNarrow	903.9317	1407318
VM_001	ContralateralNarrow	903.9407	1407408
VM_001	ContralateralNarrow	908.7002	1455003
VM_001	ContralateralNarrow	911.558	1483581
