beat_no,beat_time,HR,RRI,burst_time,latency,amp,area
1,345.683,70.5243,0.8507000000000176,346.92,1.2370000000000232,0.014849547257539857,0.0048010865149254265
2,346.5337,70.5039,0.851099999999974,NA,NA,NA,NA
3,347.3848,70.5039,0.8561000000000263,NA,NA,NA,NA
4,348.2409,70.0846,0.8655999999999722,NA,NA,NA,NA
5,349.1065,68.9902,0.8695999999999913,NA,NA,NA,NA
6,349.9761,67.5808,0.8879000000000019,351.28,1.3038999999999987,0.014600156255402452,0.00526233249700682
7,350.864,65.0398,0.9225000000000136,NA,NA,NA,NA
8,351.7865,63.9242,0.9386000000000081,NA,NA,NA,NA
9,352.7251,63.8871,0.939200000000028,353.96,1.234899999999982,0.018374932594887386,0.003368829506763629
10,353.6643,63.8871,0.9708999999999719,NA,NA,NA,NA
11,354.6352,60.9789,0.9839000000000055,NA,NA,NA,NA
12,355.6191,61.5843,0.9742999999999711,NA,NA,NA,NA
13,356.5934,61.5843,1.0039000000000442,NA,NA,NA,NA
14,357.5973,59.7672,1.0165999999999826,NA,NA,NA,NA
15,358.6139,59.0224,1.0278999999999883,NA,NA,NA,NA
16,359.6418,58.3669,1.0235999999999876,360.96,1.3181999999999903,0.013592461908360904,0.004643860522668056
17,360.6654,58.6199,1.036100000000033,NA,NA,NA,NA
18,361.7015,58.9821,1.0172999999999774,NA,NA,NA,NA
19,362.7188,58.9821,1.01339999999999,NA,NA,NA,NA
20,363.7322,59.2941,1.0119000000000256,NA,NA,NA,NA
21,364.7441,59.681,1.0054000000000087,NA,NA,NA,NA
22,365.7495,60.845,0.9860999999999649,NA,NA,NA,NA
23,366.7356,61.3171,0.9784999999999968,NA,NA,NA,NA
24,367.7141,61.683,0.9727000000000317,368.88,1.165900000000022,0.014777911850567383,0.0043342573097242135
25,368.6868,61.683,0.980199999999968,NA,NA,NA,NA
26,369.667,61.5069,0.9755000000000109,371,1.3330000000000268,0.014143044613729845,0.005024990156441126
27,370.6425,62.2248,0.9642000000000053,NA,NA,NA,NA
28,371.6067,61.1112,0.981899999999996,NA,NA,NA,NA
29,372.5886,60.3629,0.9940000000000282,NA,NA,NA,NA
30,373.5826,61.2411,0.9796999999999798,374.92,1.3374000000000024,0.014948191793299828,0.0027650645649611037
31,374.5623,61.2411,0.9913999999999987,NA,NA,NA,NA
32,375.5537,59.4004,1.0101000000000226,NA,NA,NA,NA
33,376.5638,59.4004,1.0267000000000053,NA,NA,NA,NA
34,377.5905,59.0507,1.0160999999999945,NA,NA,NA,NA
35,378.6066,58.6893,1.022299999999973,NA,NA,NA,NA
36,379.6289,58.6893,1.0178000000000225,NA,NA,NA,NA
37,380.6467,58.6634,1.0226999999999862,NA,NA,NA,NA
38,381.6694,58.6634,0.9986000000000104,382.96,1.2905999999999835,0.016081545264712088,0.007390846409830124
39,382.668,61.3123,0.9785999999999717,NA,NA,NA,NA
40,383.6466,61.8346,0.9703000000000088,NA,NA,NA,NA
41,384.6169,61.8346,0.9652000000000385,NA,NA,NA,NA
42,385.5821,63.9443,0.9384000000000015,386.88,1.29789999999997,0.013458634342869888,0.0059742674025058794
43,386.5205,64.0537,0.9366999999999734,NA,NA,NA,NA
44,387.4572,63.6829,0.9420999999999822,NA,NA,NA,NA
45,388.3993,63.6829,0.9473000000000411,NA,NA,NA,NA
46,389.3466,64.5826,0.9290999999999485,390.6,1.2533999999999992,0.017018509292883312,0.004303972159411119
47,390.2757,65.1751,0.9206000000000358,NA,NA,NA,NA
48,391.1963,65.1751,0.9144999999999754,392.52,1.323699999999974,0.014375093511896028,0.0030965592288951745
49,392.1108,65.6039,0.9268999999999892,NA,NA,NA,NA
50,393.0377,66.4293,0.9032000000000266,NA,NA,NA,NA
51,393.9409,66.4293,0.9350999999999772,NA,NA,NA,NA
52,394.876,64.3095,0.9330000000000496,NA,NA,NA,NA
53,395.809,62.251,0.9638999999999669,NA,NA,NA,NA
54,396.7729,62.251,0.9852999999999952,NA,NA,NA,NA
55,397.7582,61.18,0.980700000000013,NA,NA,NA,NA
56,398.7389,61.18,0.930499999999995,399.96,1.2210999999999785,0.018842559239190253,0.006400665607347595
57,399.6694,64.4832,0.8908999999999878,NA,NA,NA,NA
58,400.5603,67.3461,0.862700000000018,NA,NA,NA,NA
59,401.423,NA,0.8444000000000074,NA,NA,NA,NA
60,402.2674,NA,0.8571999999999775,NA,NA,NA,NA
61,403.1246,69.1704,0.8674000000000319,NA,NA,NA,NA
62,403.992,66.1847,0.906599999999969,NA,NA,NA,NA
63,404.8986,63.7069,0.9418000000000006,NA,NA,NA,NA
64,405.8404,63.7069,0.9669000000000096,NA,NA,NA,NA
65,406.8073,62.0499,0.932200000000023,408.08,1.2726999999999862,0.01919207199392488,0.005333844997250847
66,407.7395,66.886,0.8970999999999663,409,1.260499999999979,0.020787623455911796,0.00569592332984316
67,408.6366,68.6171,0.8744000000000369,NA,NA,NA,NA
68,409.511,68.5818,0.8748999999999683,NA,NA,NA,NA
69,410.3859,68.5818,0.9137000000000057,NA,NA,NA,NA
70,411.2996,64.4666,0.9307000000000016,NA,NA,NA,NA
